0,1,2,3,4,5,6,7,8,9,10
300,276.0,253.92,233.61,214.92,197.73,237.28,218.3,261.96,241.0,289.2
300,276.0,253.92,233.61,214.92,257.9,237.27,218.29,261.95,314.34,377.21
300,360.0,432.0,397.44,365.64,438.77,403.67,371.38,341.67,410.0,377.2
300,276.0,253.92,304.7,280.32,336.38,309.47,284.71,261.93,240.98,289.18
300,276.0,253.92,233.61,214.92,197.73,181.91,167.36,200.83,241.0,221.72
300,276.0,253.92,233.61,214.92,197.73,181.91,167.36,153.97,141.65,130.32
300,276.0,253.92,233.61,280.33,257.9,237.27,218.29,261.95,314.34,289.19
300,276.0,253.92,233.61,214.92,197.73,237.28,218.3,200.84,184.77,221.72
300,276.0,253.92,233.61,214.92,197.73,181.91,218.29,200.83,184.76,169.98
300,276.0,253.92,304.7,280.32,257.89,237.26,218.28,200.82,184.75,221.7
300,360.0,432.0,518.4,622.08,572.31,526.53,484.41,445.66,410.01,492.01
300,276.0,253.92,233.61,280.33,257.9,237.27,218.29,200.83,184.76,221.71
300,276.0,253.92,233.61,280.33,257.9,309.48,371.38,445.66,534.79,492.01
300,276.0,331.2,304.7,365.64,336.39,309.48,284.72,341.66,409.99,377.19
300,276.0,331.2,397.44,365.64,438.77,403.67,484.4,445.65,534.78,492.0
300,276.0,253.92,304.7,280.32,257.89,309.47,371.36,341.65,314.32,377.18
300,360.0,331.2,304.7,365.64,336.39,309.48,284.72,261.94,240.98,289.18
300,276.0,253.92,233.61,214.92,197.73,237.28,218.3,200.84,184.77,169.99
300,276.0,253.92,304.7,280.32,257.89,237.26,284.71,261.93,240.98,221.7
300,360.0,331.2,397.44,365.64,336.39,309.48,284.72,261.94,314.33,377.2
300,276.0,331.2,397.44,365.64,336.39,403.67,371.38,445.66,410.01,377.21
